select,amazon_url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
TRUE,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances,Appliances,,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Cooktops/zgbs/appliances/3741261,Appliances,Cooktops,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Dishwashers/zgbs/appliances/3741271,Appliances,Dishwashers,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Built-Dishwashers/zgbs/appliances/3741281,Appliances,Dishwashers,Built-In Dishwashers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Countertop-Dishwashers/zgbs/appliances/19201451011,Appliances,Dishwashers,Countertop Dishwashers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Portable-Dishwashers/zgbs/appliances/19201449011,Appliances,Dishwashers,Portable Dishwashers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Freezers/zgbs/appliances/3741331,Appliances,Freezers,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Chest-Freezers/zgbs/appliances/3741341,Appliances,Freezers,Chest Freezers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Upright-Freezers/zgbs/appliances/3741351,Appliances,Freezers,Upright Freezers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Ice-Makers/zgbs/appliances/2399939011,Appliances,Ice Makers,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Range-Hoods/zgbs/appliances/3741441,Appliances,Range Hoods,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Ranges/zgbs/appliances/3741411,Appliances,Ranges,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Drop-Ranges/zgbs/appliances/3741421,Appliances,Ranges,Drop-In Ranges,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Freestanding-Ranges/zgbs/appliances/3741431,Appliances,Ranges,Freestanding Ranges,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Slide-Ranges/zgbs/appliances/2399946011,Appliances,Ranges,Slide-In Ranges,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Refrigerators/zgbs/appliances/3741361,Appliances,Refrigerators,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Wall-Ovens/zgbs/appliances/3741481,Appliances,Wall Ovens,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Combination-Microwave-Wall-Ovens/zgbs/appliances/3741491,Appliances,Wall Ovens,Combination Microwave & Wall Ovens,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Double-Wall-Ovens/zgbs/appliances/3741501,Appliances,Wall Ovens,Double Wall Ovens,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Single-Wall-Ovens/zgbs/appliances/3741511,Appliances,Wall Ovens,Single Wall Ovens,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Warming-Drawers/zgbs/appliances/2399955011,Appliances,Warming Drawers,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Washers-Dryers/zgbs/appliances/2383576011,Appliances,Washers & Dryers,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Clothes-Dryers/zgbs/appliances/13397481,Appliances,Washers & Dryers,Dryers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Clothes-Washing-Machines/zgbs/appliances/13397491,Appliances,Washers & Dryers,Washers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Combination-Washers-Dryers/zgbs/appliances/13755271,Appliances,Washers & Dryers,All-in-One Combination Washers & Dryers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Stacked-Washer-Dryer-Units/zgbs/appliances/2399957011,Appliances,Washers & Dryers,Stacked Washer & Dryer Units,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Portable-Clothes-Washing-Machines/zgbs/appliances/9709422011,Appliances,Washers & Dryers,Portable Washers,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Wine-Cellars/zgbs/appliances/3741521,Appliances,Wine Cellars,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Built-Wine-Cellars/zgbs/kitchen/3741551,Appliances,Wine Cellars,Built-In Wine Cellars,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Freestanding-Wine-Cellars/zgbs/kitchen/3741541,Appliances,Wine Cellars,Freestanding Wine Cellars,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Kitchen-Dining-Wine-Cellar-Cooling-Systems/zgbs/kitchen/3741581,Appliances,Wine Cellars,Wine Cellar Cooling Systems,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appliances-Home-Appliance-Warranties/zgbs/appliances/2242350011,Appliances,Appliance Warranties,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android/zgbs/mobile-apps,Apps & Games,,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Books-Comics/zgbs/mobile-apps/9408444011,Apps & Games,Books & Comics,,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Book-Info-Reviews/zgbs/mobile-apps/9408446011,Apps & Games,Books & Comics,Book Info & Reviews,,,,,
TRUE,https://www.amazon.com/Best-Sellers-Appstore-Android-Book-Readers-Players/zgbs/mobile-apps/9408445011,Apps & Games,Books & Comics,Readers & Players,,,,,
