,select,amazon_url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
0,TRUE,https://www.amazon.com/gp/most-wished-for/appliances,Appliances,,,,,,,
1,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741261,Appliances,Cooktops,,,,,,
2,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741271,Appliances,Dishwashers,,,,,,
3,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741281,Appliances,Dishwashers,Built-In Dishwashers,,,,,
4,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/19201451011,Appliances,Dishwashers,Countertop Dishwashers,,,,,
5,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/19201449011,Appliances,Dishwashers,Portable Dishwashers,,,,,
6,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741331,Appliances,Freezers,,,,,,
7,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741341,Appliances,Freezers,Chest Freezers,,,,,
8,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741351,Appliances,Freezers,Upright Freezers,,,,,
9,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/2399939011,Appliances,Ice Makers,,,,,,
10,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741441,Appliances,Range Hoods,,,,,,
11,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741411,Appliances,Ranges,,,,,,
12,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741421,Appliances,Ranges,Drop-In Ranges,,,,,
13,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741431,Appliances,Ranges,Freestanding Ranges,,,,,
14,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/2399946011,Appliances,Ranges,Slide-In Ranges,,,,,
15,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741361,Appliances,Refrigerators,,,,,,
16,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741481,Appliances,Wall Ovens,,,,,,
17,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741491,Appliances,Wall Ovens,Combination Microwave & Wall Ovens,,,,,
18,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741501,Appliances,Wall Ovens,Double Wall Ovens,,,,,
19,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741511,Appliances,Wall Ovens,Single Wall Ovens,,,,,
20,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/2399955011,Appliances,Warming Drawers,,,,,,
21,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/2383576011,Appliances,Washers & Dryers,,,,,,
22,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/13397481,Appliances,Washers & Dryers,Dryers,,,,,
23,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/13397491,Appliances,Washers & Dryers,Washers,,,,,
24,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/13755271,Appliances,Washers & Dryers,All-in-One Combination Washers & Dryers,,,,,
25,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/2399957011,Appliances,Washers & Dryers,Stacked Washer & Dryer Units,,,,,
26,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/9709422011,Appliances,Washers & Dryers,Portable Washers,,,,,
27,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/3741521,Appliances,Wine Cellars,,,,,,
28,TRUE,https://www.amazon.com/gp/most-wished-for/kitchen/3741551,Appliances,Wine Cellars,Built-In Wine Cellars,,,,,
29,TRUE,https://www.amazon.com/gp/most-wished-for/kitchen/3741541,Appliances,Wine Cellars,Freestanding Wine Cellars,,,,,
30,TRUE,https://www.amazon.com/gp/most-wished-for/kitchen/3741581,Appliances,Wine Cellars,Wine Cellar Cooling Systems,,,,,
31,TRUE,https://www.amazon.com/gp/most-wished-for/appliances/2242350011,Appliances,Appliance Warranties,,,,,,
32,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts,"Arts, Crafts & Sewing",,,,,,,
33,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896081,"Arts, Crafts & Sewing",Beading & Jewelry Making,,,,,,
34,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090707011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beading Supplies,,,,,
35,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896091,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beading Supplies,Bead Looms,,,,
36,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262593011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beading Supplies,Beading Cords & Threads,,,,
37,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896101,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beading Supplies,Beading Kits,,,,
38,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090708011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beading Supplies,"Beading Mats, Trays & Boards",,,,
39,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090979011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beading Supplies,Beading Needles,,,,
40,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090778011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beading Supplies,Fuse & Perler Beads,,,,
41,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896121,"Arts, Crafts & Sewing",Beading & Jewelry Making,Beads & Bead Assortments,,,,,
42,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262595011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Charms,,,,,
43,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896151,"Arts, Crafts & Sewing",Beading & Jewelry Making,Engraving Machines & Tools,,,,,
44,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090782011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Fusible Glass Supplies,,,,,
45,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090808011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Casting Supplies,,,,,
46,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896131,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Casting Supplies,Casting Machines,,,,
47,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090812011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Casting Supplies,Casting Tools,,,,
48,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/19271661011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Casting Supplies,Metal Casting Molds,,,,
49,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/19271660011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Casting Supplies,Resin Casting Molds,,,,
50,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896161,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,,,,,
51,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090784011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Cord Ends,,,,
52,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3097795011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Earring Backs & Findings,,,,
53,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090786011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,End Caps,,,,
54,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090788011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Eye Pins,,,,
55,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090792011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Head Pins,,,,
56,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298701011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Jewelry Clasps,,,,
57,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298708011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Jewelry Making Chains,,,,
58,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298709011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Jump Rings,,,,
59,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298711011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Pin Backs,,,,
60,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262596011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Findings,Wire,,,,
61,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090796011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Display & Packaging Supplies,,,,,
62,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896171,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Kits,,,,,
63,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896181,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,,,,,
64,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/10664320011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Diamond & Gold Testers,,,,
65,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/10664323011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Diamond & Gold Testers,Diamond Testers,,,
66,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/10664324011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Diamond & Gold Testers,Gold Testers,,,
67,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090798011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Jewelry Hammers,,,,
68,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090800011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Jewelry Pliers,,,,
69,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090804011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Jewelry Sizers & Mandrels,,,,
70,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896511,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Kilns & Firing Accessories,,,,
71,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933704011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Kilns & Firing Accessories,Kilns,,,
72,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933705011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Kilns & Firing Accessories,Firing Accessories,,,
73,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090802011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Making Tools & Accessories,Loupes,,,,
74,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090806011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Jewelry Patterns,,,,,
75,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090814011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Metal Stamping Tools,,,,,
76,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896191,"Arts, Crafts & Sewing",Beading & Jewelry Making,Polishing & Buffing,,,,,
77,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3097796011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Purse Making,,,,,
78,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090936011,"Arts, Crafts & Sewing",Beading & Jewelry Making,Storage,,,,,
79,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12896201,"Arts, Crafts & Sewing",Beading & Jewelry Making,Wax Molding Materials,,,,,
80,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/378733011,"Arts, Crafts & Sewing",Craft Supplies,,,,,,
81,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12890801,"Arts, Crafts & Sewing",Craft Supplies,Basket Making,,,,,
82,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262597011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,,,,,
83,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262598011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Dyes,,,,
84,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262599011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Kits,,,,
85,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262600011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Molds,,,,
86,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262601011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Scents,,,,
87,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262602011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Wax,,,,
88,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262603011,"Arts, Crafts & Sewing",Craft Supplies,Candle Making,Wicks,,,,
